input_address,output_address,probability
0xD0cC2B24980CBCCA47EF755Da88B220a82291407,0x7087d0123a5c077a0fea2c45d184f0bdc6cc55c8,1.0
0xD0cC2B24980CBCCA47EF755Da88B220a82291407,0x0776fc19b920a7851c185d4157613c5efa0f5cae,1.0
0xD0cC2B24980CBCCA47EF755Da88B220a82291407,0x709986743538bd78054c5ccc25cf96462b04e9a0,1.0
0xD0cC2B24980CBCCA47EF755Da88B220a82291407,0x70971dd0eb303b9f9403b1d5776b692718b9b6aa,1.0
0xD0cC2B24980CBCCA47EF755Da88B220a82291407,0x709388f330d8c1a767d061511649be2293c21cad,1.0
0xD0cC2B24980CBCCA47EF755Da88B220a82291407,0x711cac5884617aaf42347fd49f75fa3bcc78b90c,1.0
0xD0cC2B24980CBCCA47EF755Da88B220a82291407,0x70930c88dab04fe2f14134768c5b48757613ec6a,1.0
0xD0cC2B24980CBCCA47EF755Da88B220a82291407,0x7092191421bf67bd3ad2193c75f686c61b451ef6,1.0
0xD0cC2B24980CBCCA47EF755Da88B220a82291407,0x714085c26710cc53151264a65a7caf4ecf9d0426,1.0
0xD0cC2B24980CBCCA47EF755Da88B220a82291407,0x708ff57e4c7ac1d17b14e4557bc88233dd88a24e,1.0
0xD0cC2B24980CBCCA47EF755Da88B220a82291407,0x708fceda148dea615218566ebbaa914fd70d86f3,1.0
0xD0cC2B24980CBCCA47EF755Da88B220a82291407,0x708eaf0280c3c55299e3d3792863d414071dc7ce,1.0
0xD0cC2B24980CBCCA47EF755Da88B220a82291407,0x708e95962ba178f7e91cad9cc5fa349437e9cd4f,1.0
0xD0cC2B24980CBCCA47EF755Da88B220a82291407,0x708d2753b148e01af8e1210564e4d6ad09ea3315,1.0
0xD0cC2B24980CBCCA47EF755Da88B220a82291407,0x714121ccaff0559312a3f05773703631c4922fb5,1.0
0xD0cC2B24980CBCCA47EF755Da88B220a82291407,0x714218f8f005494cf901fbb56b0d0c3b46dc7869,1.0
0xD0cC2B24980CBCCA47EF755Da88B220a82291407,0x709b3e9781f695b5904c5448b1e0743368168ba2,1.0
0xD0cC2B24980CBCCA47EF755Da88B220a82291407,0x7082c2b3b6b3c95898f7412b0d37aefdddb7f167,1.0
0xD0cC2B24980CBCCA47EF755Da88B220a82291407,0x71b11f36f3f6bf08449be4951205bee6d42c9139,1.0
0xD0cC2B24980CBCCA47EF755Da88B220a82291407,0x70f74b10b81714581a8c8d1faf48d9ce3c7190fc,1.0
0xD0cC2B24980CBCCA47EF755Da88B220a82291407,0x711c6fd1ca8162b6c9965fbad1eddf068fd831df,1.0
0xD0cC2B24980CBCCA47EF755Da88B220a82291407,0x707e334b9e653f08d0db545d7fba0b75197a2bdf,1.0
0xD0cC2B24980CBCCA47EF755Da88B220a82291407,0x70f838c0014386bad1c4f7c3d24722332e6b3a7c,1.0
0xD0cC2B24980CBCCA47EF755Da88B220a82291407,0x4654b672a2b96b2725aea0a0d0aaf8f5036d0d8b,1.0
